,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists,Popularity,popularity
765,0.0719,https://api.spotify.com/v1/audio-analysis/3xbxh3LW9v6E3wn1AwUJfe,0.424,167400,0.508,3xbxh3LW9v6E3wn1AwUJfe,0.0,0,0.361,-6.145,1,0.0615,100.287,4,https://api.spotify.com/v1/tracks/3xbxh3LW9v6E3wn1AwUJfe,audio_features,spotify:track:3xbxh3LW9v6E3wn1AwUJfe,0.208,2018-04-15T23:47:34Z,Stay With Me,Kasbo,,35
766,0.011,https://api.spotify.com/v1/audio-analysis/4ohMD1wzaaOC2I6jSGFMeP,0.672,213760,0.907,4ohMD1wzaaOC2I6jSGFMeP,0.0491,2,0.398,-2.563,1,0.0683,124.985,4,https://api.spotify.com/v1/tracks/4ohMD1wzaaOC2I6jSGFMeP,audio_features,spotify:track:4ohMD1wzaaOC2I6jSGFMeP,0.4,2018-04-15T23:41:31Z,Mi Gente - Alesso Remix,"J Balvin,Willy William,Alesso",,42
767,0.0193,https://api.spotify.com/v1/audio-analysis/0DiWol3AO6WpXZgp0goxAV,0.611,320357,0.697,0DiWol3AO6WpXZgp0goxAV,0.0,2,0.332,-8.618,1,0.133,122.752,4,https://api.spotify.com/v1/tracks/0DiWol3AO6WpXZgp0goxAV,audio_features,spotify:track:0DiWol3AO6WpXZgp0goxAV,0.476,2018-04-15T23:36:08Z,One More Time,Daft Punk,,71
768,0.000973,https://api.spotify.com/v1/audio-analysis/13HEIb4DeOsMN8x8SxhzN8,0.653,185669,0.934,13HEIb4DeOsMN8x8SxhzN8,0.000512,7,0.144,-2.878,1,0.295,127.029,4,https://api.spotify.com/v1/tracks/13HEIb4DeOsMN8x8SxhzN8,audio_features,spotify:track:13HEIb4DeOsMN8x8SxhzN8,0.561,2018-04-15T23:34:37Z,So Much Love,"Muzzaik,Stadiumx",,1
769,0.052,https://api.spotify.com/v1/audio-analysis/0oG8ldcaN9vQIk2TMLmloS,0.761,169004,0.928,0oG8ldcaN9vQIk2TMLmloS,0.000387,9,0.0365,-2.895,0,0.0644,126.071,4,https://api.spotify.com/v1/tracks/0oG8ldcaN9vQIk2TMLmloS,audio_features,spotify:track:0oG8ldcaN9vQIk2TMLmloS,0.0398,2018-04-15T23:33:11Z,Momentum,Don Diablo,,5
770,0.0183,https://api.spotify.com/v1/audio-analysis/6iC7vapdKp0XlKhxOkp8QJ,0.875,179512,0.835,6iC7vapdKp0XlKhxOkp8QJ,0.00281,2,0.336,-3.626,1,0.0499,123.054,4,https://api.spotify.com/v1/tracks/6iC7vapdKp0XlKhxOkp8QJ,audio_features,spotify:track:6iC7vapdKp0XlKhxOkp8QJ,0.287,2018-04-15T23:32:52Z,BOOM,"Tiësto,Sevenn,Gucci Mane",,67
771,0.0785,https://api.spotify.com/v1/audio-analysis/0ovkF7guujkfu2yRLnUS0b,0.589,194500,0.971,0ovkF7guujkfu2yRLnUS0b,7.66e-05,5,0.248,-3.666,0,0.103,128.015,4,https://api.spotify.com/v1/tracks/0ovkF7guujkfu2yRLnUS0b,audio_features,spotify:track:0ovkF7guujkfu2yRLnUS0b,0.708,2018-04-15T23:29:57Z,Ain't A Party [feat. Harrison] - Radio Edit,"David Guetta,GLOWINTHEDARK,Harrison",,45
772,0.0282,https://api.spotify.com/v1/audio-analysis/6M6Tk58pQvABy6ru66dY3d,0.674,191293,0.915,6M6Tk58pQvABy6ru66dY3d,0.00337,6,0.273,-3.999,0,0.0411,126.038,4,https://api.spotify.com/v1/tracks/6M6Tk58pQvABy6ru66dY3d,audio_features,spotify:track:6M6Tk58pQvABy6ru66dY3d,0.78,2018-04-15T23:27:06Z,No Money,Galantis,,65
773,0.0172,https://api.spotify.com/v1/audio-analysis/0vBpyfpW2lARGh3AZFtWRi,0.705,203920,0.807,0vBpyfpW2lARGh3AZFtWRi,0.0392,8,0.232,-3.157,0,0.0845,132.025,4,https://api.spotify.com/v1/tracks/0vBpyfpW2lARGh3AZFtWRi,audio_features,spotify:track:0vBpyfpW2lARGh3AZFtWRi,0.88,2018-04-15T23:24:44Z,Heads Will Roll - A-Trak Remix Radio Edit,"Yeah Yeah Yeahs,A-Trak",,50
774,0.0337,https://api.spotify.com/v1/audio-analysis/5LlJrf8JdsP9FYDvsO3Mn0,0.778,192124,0.745,5LlJrf8JdsP9FYDvsO3Mn0,0.000281,11,0.35,-4.554,0,0.0308,126.019,4,https://api.spotify.com/v1/tracks/5LlJrf8JdsP9FYDvsO3Mn0,audio_features,spotify:track:5LlJrf8JdsP9FYDvsO3Mn0,0.661,2018-04-15T23:23:02Z,Dark River,Sebastian Ingrosso,,0
